from	to	type	title	link
2011-06		award	LeadAward Gold "Webspecial des Jahres" für "Verräterisches Handy"	http://leadacademy.de/2011/preistraeger.html
2011-06		award	Online Journalism Awards - Outstanding Data Visualization für "Verräterisches Handy"	https://journalists.org/awards/2011-awards/
2011-05-21		press	Deutschlandradio - Schöne neue Datenwelt	http://breitband.dradio.de/schone-neue-datenwelt/
2011-05-16		press	Medienradio - Daten sehen	http://www.kuechenstud.io/medienradio/podcast/mr045-daten-sehen/
2011-05-06		press	Deutsche Welle - German data visualization specialists seeks iPhone tracking data	http://www.dw.de/german-data-visualization-specialists-seek-iphone-tracking-data/a-15062976
2011-05-05		press	Der Freitag - Wenn die Daten schon herumliegen	http://www.freitag.de/autoren/klaus-raab/wenn-die-daten-schon-herumliegen
2011-04-25		project	crowdflow.net	http://crowdflow.net
2011-04-12		press	Guest post: visualising mobile phone data – the data retention app	https://onlinejournalismblog.com/2011/04/12/guest-post-visualising-mobile-phone-data-the-data-retention-app/
2011-01-31		project	zeit.de - Verräterisches Handy	http://www.zeit.de/datenschutz/malte-spitz-data-retention/
2008-06		award	Interactive TV Award 2. Platz	https://www.heise.de/newsticker/meldung/Sieger-der-ersten-Runde-des-Interactive-TV-Award-der-Telekom-stehen-fest-204359.html
2006-08	2011-10	work	creamBOTS GmbH	
2004-04	2007-09	school	Universität Koblenz	
2001-12	2004-04	work	European Space Operation Centre	http://www.esa.int/About_Us/ESOC
2001-01	2001-07	work	Dresdner Asset Management	
2000-11	2004-04	work	univativ GmbH	
1999-10	2004-04	school	Technische Universität Darmstadt (Vordiplom Informatik)	
1999-10		award	Silbermedaille - Internationale Informatikolympiade	http://stats.ioinformatics.org/people/1545
1998-06-03		press	Die Berliner Zeitung - "Die Milka-Kuh im Wüstensand"	http://www.berliner-zeitung.de/archiv/jungforscher-entwickelten-verfahren-zur-digitalen-bildentwicklung-die-milka-kuh-im-wuestensand,10810590,9437702.html
1998-05		award	2. Platz - Bundeswettbewerb jugend forscht	http://www.jugend-forscht.de/projektdatenbank/aufnahmeverfahren-das-verlustfreies-trennen-von-objekten-vom-hintergrund-ermoeglicht.html
1992-08	1999-07	school	Heinrich-Hertz-Gymnasium (Abitur)	
1986-08	1990-07	school	Grundschule	
